74.8522 159.86 1.97194 iterative|suffix-array|dynp-matching|strncmp|scalar
73.74 81.7513 1.97194 iterative|suffix-array|dynp-matching|str-as-long|scalar
73.967 37.4391 1.94764 iterative|suffix-array|greedy-match|str-as-long|scalar
2.1 19.9757 2.33083 bottom-up|binary-search|greedy-match|str-as-long|scalar
1.72957 10.2774 2.28691 bottom-up|lossy-hash|greedy-match|str-as-long|branch-scalar
0.83087 10.3722 2.19656 bottom-up|lossy-hash|greedy-match|str-as-long|adaptive-scalar|optimized-construction
0.831739 4.09913 2.19656 bottom-up|lossy-hash|greedy-match|str-as-long|avx512|optimized-construction
